property_name,address,city,zip_code,lat,lon
852-Little Havana Homes - A,1255 Sw 1st St,MIAMI,33135,25.77269,-80.21587
040-Arthur Mays Villas,21505 Sw 114th Ct,CUTLER BAY,33189,25.56702,-80.37693
862T- Liberty Square Phase 2,1310 NW 67 Street, MIAMI,33147,25.83548,-80.21929
065-Palm Court,930 Nw 95 St,MIAMI,33150,25.86118,-80.213
001-Edison Courts,6408 Nw 3 Ave,MIAMI,33150,25.83466,-80.2023
001-Edison Courts,207 Nw 64 St,MIAMI,33150,25.83451,-80.20082
829-Scattered Site 9-D,3169 Nw 21 Ave,MIAMI,33142,25.80554,-80.22946
089-Harry Cain,490 Ne 2nd Ave,MIAMI,33132,25.77863,-80.19063
044-Ward Towers,2200 Nw 54 St,MIAMI,33142,25.82319,-80.23423
014-Annie Coleman,2425 Nw 50 St,MIAMI,33142,25.82085,-80.2373
016-Annie Coleman,1840 Nw 60 St,MIAMI,33142,25.82957,-80.22794
007-Victory Homes,630 Nw 73 St,MIAMI,33150,25.84194,-80.2078
820-Gwen Cherry 13,2400 NW 12th Ave,MIAMI,33127,25.79956,-80.21567
043-Palm Towers,950 Nw 95 St,MIAMI,33150,25.86103,-80.21319
014-Annie Coleman,2417 Nw 50 St,MIAMI,33142,25.82066,-80.23728
054-Parkside,333 Nw 4 Ave,MIAMI,33128,25.77753,-80.20093
043-Palm Towers,950 Nw 95 St,MIAMI,33150,25.86103,-80.21319
089-Harry Cain,490 Ne 2nd Ave,MIAMI,33132,25.77863,-80.19063
"057-Helen Sawyer Plaza, ALF",1150 Nw 11 Street Rd,MIAMI,33136,25.78486,-80.20977
091-Phyllis Wheatley,1701 Nw 2 Ct,MIAMI,33136,25.79202,-80.19905
850-Opa-Locka Elderly - A,13601 Nw 24 Ave,OPA LOCKA,33054,25.89862,-80.23963
832-Gwen Cherry 16,2000 Nw 19 Terr,MIAMI,33125,25.7928,-80.22887
858T-Modello Apartments (LITC),15375 SW 284 Street,HOMESTEAD,33033,25.50328,-80.44021
833-Gwen Cherry 14,2072 Nw 24 St,MIAMI,33142,25.79915,-80.22929
036-Twin Lakes,1225 Nw 95 St,MIAMI,33147,25.86189,-80.21751
853-Santa Clara Homes,1003 Nw 27 St,MIAMI,33127,25.80191,-80.21158
039-Peters Plaza,191 Ne 75 St,MIAMI,33138,25.84437,-80.19323
856T-Smathers Phase 2 (LITC),1025 SW 30 Ave,MAIMI,33135,25.76277,-80.24271
051-Lemon City,150 Ne 69 St,MIAMI,33138,25.83828,-80.19319
001-Edison Courts,258 Nw 67 St,MIAMI,33150,25.83599,-80.202
080-Florida City Gardens,900 Nw 6 Ave,FLORIDA CITY,33034,25.45769,-80.48606
861T- Liberty Square Phase I,1410 NW 67 Street, MIAMI,33147,25.83547,-80.22143
049-Culmer Place,667 Nw 8 St,MIAMI,33136,25.78152,-80.20604
085-Homestead Village,448 Sw 4 Ave,HOMESTEAD,33030,25.46566,-80.48346
058-Stirrup Plaza,3702 Day Ave,MIAMI,33133,25.73069,-80.25418
079-Goulds Plaza,11421 Sw 213 St,MIAMI,33189,25.56934,-80.37707
036-Twin Lakes,1215 Nw 95 St,MIAMI,33147,25.86163,-80.21641
016-Annie Coleman,1943 Nw 60 St,MIAMI,33142,25.82994,-80.22964
032-Rainbow Village,410 Nw 22 St,MIAMI,33127,25.79726,-80.20232
069-Moody Village,26928 Sw 135 Ave,NARANJA,33032,25.51586,-80.41163
830-Scattered Site 11 - D,1919 Nw 29 St,MIAMI,33142,25.80347,-80.22807
051-Lemon City,150 Ne 69 St,MIAMI,33138,25.83828,-80.19319
861T- Liberty Square Phase I,1480 NW 67 Street, MIAMI,33147,25.83543,-80.22281
006-Little River Terrace,8320 Nw 5 Ct,MIAMI,33150,25.8513,-80.20621
048T-Scott Carver Phase 2A&B (LITC),2142 NW 74 street, MIAMI,33147,25.84192,-80.23218
025-Claude Pepper,750 Nw 18 Terr,MIAMI,33136,25.79273,-80.2081
